Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score
AUDUSD,20,0.0001,67,11,903,45,192,0.19,6.090909091,1045.017273
AUDUSD,20,0.0001,66,26,1106,53,92,0.37,2.538461538,1038.789231
AUDUSD,20,0.0001,62,26,1142,57,92,0.38,2.384615385,1034.827692
AUDUSD,20,0.0001,63,26,1099,55,91,0.38,2.423076923,1011.925385
AUDUSD,20,0.0001,67,25,1059,52,97,0.35,2.68,993.342
AUDUSD,20,0.0001,61,26,1085,57,92,0.38,2.346153846,967.3192308
AUDUSD,20,0.0001,60,27,1023,58,91,0.39,2.222222222,886.6
AUDUSD,20,0.0001,66,27,978,50,86,0.37,2.444444444,884.5466667
AUDUSD,20,0.0001,62,25,985,55,97,0.36,2.48,879.408
AUDUSD,20,0.0001,65,11,780,45,195,0.19,5.909090909,875.7272727
AUDUSD,20,0.0001,64,26,986,54,95,0.36,2.461538462,873.7476923
AUDUSD,20,0.0001,63,25,939,53,96,0.36,2.52,851.8608
AUDUSD,20,0.0001,67,18,840,48,132,0.27,3.722222222,844.2
AUDUSD,20,0.0001,65,26,936,52,94,0.36,2.5,842.4
AUDUSD,20,0.0001,63,11,772,47,199,0.19,5.727272727,840.0763636
AUDUSD,20,0.0001,60,26,950,57,95,0.38,2.307692308,833.0769231
AUDUSD,20,0.0001,66,11,770,44,194,0.18,6,831.6
AUDUSD,20,0.0001,66,25,916,51,98,0.34,2.64,822.2016
AUDUSD,20,0.0001,67,26,906,50,94,0.35,2.576923077,817.1423077
AUDUSD,20,0.0001,61,25,930,55,97,0.36,2.44,816.912
AUDUSD,20,0.0001,66,29,943,49,79,0.38,2.275862069,815.5324138
AUDUSD,20,0.0001,64,11,735,45,195,0.19,5.818181818,812.5090909
AUDUSD,20,0.0001,66,33,957,49,69,0.42,2,803.88
AUDUSD,20,0.0001,57,20,877,61,130,0.32,2.85,799.824
AUDUSD,20,0.0001,67,13,736,43,165,0.21,5.153846154,796.5784615
AUDUSD,20,0.0001,56,11,735,53,203,0.21,5.090909091,785.7818182
